"Globally Unique Identifier (GUID)/Universally Unique Identifier (UUID)","Globally Unique Identifier (GUID) and Universally Unique Identifier (UUID) are synonymous. A GUID is a 128-bit (16 byte) number used by software programs to uniquely identify the location of a data object. GUIDs are typically written in hexadecimal notation, containing 32 digits, and may look something like this: {12345678-9012-3456-7890-123456789012}"
"GREP/SED/AWK","Global Regular Expression Parser (GREP) is a command-line utility for Unix used for searching text documents. It can perform basic searches and advanced pattern matching using regular expressions.\nStream Editor (SED) is used to perform basic text transformations on an input stream (a file or input from a pipeline). While in some ways similar to an editor which permits scripted edits (such as ed), SED works by making only one pass over the input(s) and is consequently more efficient.\nAho, Weinberger, Kernighan (AWK) is a pattern scanning language. The basic function of AWK is to search files for lines (or other units of text) that contain a pattern. When a line matches, AWK performs a specified action on that line." 
"Hardware vs Software Write-Protection","Hardware Write-Protection is when a device is connected in-between the forensic imaging computer and the source media that prevents any changes to the source media.\nSoftware Write-Protection is when a software program running on a computer prevents any changes to a piece of source media, such as a hard drive or flash drive."
"Hashing (MD5/SHA-1/SHA-256)","Hashes are mathematical algorithms used in computer forensics to 'digitally fingerprint' a file or forensic image.\nMD5 – Message Digest 5\nA 128-bit (16-byte) algorithm typically displayed in a 32-character alphanumeric string. The chances of two pieces of different data having the same MD5 hash value is 1/(2^128) or 340 billion billion billion billion. The MD5 algorithm has been broken in the lab; however, for forensic purposes, it is still acceptable to use.\nSHA1 – Secure Hash Algorithm\nA 160-bit (20-byte) algorithm typically displayed in a 40-character alphanumeric string. The chances of two pieces of different data having the same SHA1 hash value is 1/(2^160), much less chance than an MD5 hash. The SHA1 algorithm has also been broken in the lab; however, is still considered a viable fingerprinting method for digital data.\nSHA256 – Secure Hash Algorithm\nPart of the SHA2 family. A 256-bit (32-bytes) algorithm, it is typically displayed in a 64-charactere alphanumeric string. The chances of two pieces of different data having the same SHA256 hash value is 1/(2^256), much less chance than either MD5 or SHA1."
"HDD vs SSD","A Hard Disk Drive (HDD) is often used interchangeably with the terms 'hard drive' and 'hard disk.' HDDs are non-volatile, meaning they do not need electrical power to maintain their data. They store data magnetically using a series of spinning platters, or magnetic discs, which record individual bits as ones and zeroes.\nA Solid State Drive (SSD) is a type of mass storage device similar to a hard disk drive (HDD). Instead of storing data on magnetic platters, SSDs store data using flash memory."
"IMEI (International Mobile Equipment Identity)","International Mobile Equipment Identity (IMEI) is a number assigned to a cell phone that uniquely identifies it. Like a serial number, the 15-digit number is divided into four sets."
"Indicators of Compromise (IOC)","Indicator of Compromise (IOC) in computer forensics is an artifact observed on a network or in an operating system that with high confidence indicates a computer intrusion. Typical IOCs are virus signatures and IP addresses, MD5 hashes of malware files, or URLs or domain names of botnet command and control servers."
"Internet","The Internet is a vast, world-wide infrastructure of interconnected computers. Originally designed by Advanced Research Projects Agency (ARPA). Its purpose was to create a global network of computers with fault-tolerance; the goal being that if one communication line was cut, the computers could route through other computers.\nThe Internet known today is primarily centered on the World Wide Web; however, initially one of the biggest uses for the Internet was email and file transfers. The military and universities were the two primary user groups.\nThe Internet is a global wide area network that connects computer systems across the world."
"Intrusion Prevention System (IPS)/Intrusion Detection System (IDS)","An Intrusion Prevention System (IPS) is a network security system designed to prevent malicious activity within a network.\nAn Intrusion Detection System (IDS) monitors network traffic for suspicious activity."
"IP Address","An Internet Protocol (IP) Address is a series of numbers divided into four octets that uniquely identifies a computer on a network (including the internet). Each octet can be one, two or three numbers, as long as those numbers are within the set of 0-255 and follow the rules needed for the desired behavior." 
"DHCP vs Static","A Dynamic Host Configuration Protocol (DHCP) IP address is one that is assigned to a computer from a pool of IP addresses owned by a particular company. Once the user logs off their computer the IP address can be re-assigned to another computer. When the first user logs back on their computer will obtain another address from the pool of unassigned addresses.\nA Static IP address is one that is permanently assigned to a computer and does not change when a user logs off of their computer."
"LAMP/WAMP/XAMPP","Linux – Apache – MySQL – PHP (LAMP) is an archetypal model of web service stacks, named as an acronym of the names of its original four open-source components (Linux - operating system, Apache - web server, MySQL - database, and PHP - software language). The LAMP components are largely interchangeable and not limited to the original selection. As a solution stack, LAMP is suitable for building dynamic web sites and web applications.\nWindows – Apache – MySQL – PHP (WAMP) is another archetypal model of web service stacks similar as the above, but interchanges Windows for Linux (Windows - operating system, Apache - web server, MySQL - database, and PHP - software language).\nCrossPlatform–Apache–MariaDB–PHP–Perl (XAMPP) is a free and open source Cross- platform (X) web server solution stack package consisting mainly of the Apache HTTP Server, MariaDB database, and interpreters for scripts written in the PHP and Perl programming languages."
"LAN/WAN","A Local Area Network (LAN) is a network of connected devices that exist within a specific location. LANs may be found in homes, offices, educational institutions, or other areas. A LAN may be wired, wireless, or a combination of the two.\nA Wide Area Network (WAN) is similar to a LAN, but it is a lot bigger. Unlike LANs, WANs are not limited to a single location, but span long distances via telephone lines, fiber optic cables, or satellite links. They can also be composed of smaller LANs that are interconnected. The Internet could be described as the biggest WAN in the world." 
"MAC Address","A Media Access Control (MAC) Address is a unique set of alphanumeric numbers physically assigned to a network interface card within a computer or other network-capable device, such as a printer. This value, represented by six sets of hexadecimal numbers, identifies the manufacture of the network card (the first three sets of characters) followed by the individual card’s serial number (the second set of three characters)."
"National Security Letter (NSL)","A National Security Letter (NSL) is an administrative subpoena issued by the United States government to gather information for national security purposes. NSLs do not require prior approval from a judge."
"Network Address Translation (NAT)","Network Address Translation (NAT) translates the IP addresses of computers in a local network to a single IP address."
"Network Interface Card (NIC)","A Network Interface Card (NIC) is a physical electronic component in a computer or other network-connected device that allows communication with other devices over a network. The NIC has a MAC Address that uniquely identifies it from other devices on the network."
"Networked Attached Storage (NAS)/Network Drive","By using Networked Attached Storage (NAS), computers can store and access data using a centralized storage location. Instead of each computer sharing its own files, the shared data is stored on a single NAS server. This provides a simpler and more reliable way of sharing files on a network.\nNetwork Drives are hard drives on a computer that are shared onto the network, but if that computer is disconnected from the network, its files will not be available to the other systems."
"Operating System (OS)","An Operating System (OS), is software that communicates with the hardware and allows other programs to run. It is comprised of system software, or the fundamental files your computer needs to boot up and function." 
"Packers/Obfuscation","Packers is usually a short name for 'runtime packers' and are also known as 'self-extracting archives.' Packers is software that unpacks itself in memory when the 'packed file' is executed. Sometimes this technique is also called 'executable compression.'\nObfuscation are techniques used to conceal or obscure message transmissions or techniques in malware, similar to packers, encryption, and increase of entropy."
"Partition (Primary vs Extended)","A primary partition is a formatted section of a piece of media, such as a hard drive or flash drive, which can store data. There can be up to four primary partitions on a piece of media, or three primary and one extended partition. Primary partitions can be bootable, but there can be only one bootable partition at a time on a piece of media.\nAn extended partition is actually a placeholder on a piece of media that is used to store the location of additional volumes on a piece of media. It does not itself get a drive letter, but can hold up to 23 partitions with drive letters assigned. Drive A and B are reserved letters and C is assigned to the primary partition."
"Partition Tables (GPT/MFT)","The GUID Partition Table (GPT) is the format used to define the hard disk partitions in computers with UEFI startup firmware. GPT replaces the previous Master Boot Record (MBR) method. While the MBR supported partitions as large as 2.2TB, GPT partitions can be up to 18 exabytes.\nThe Master File Table (MFT) is the directory of an NTFS-formatted file system. In the MFT, every file and folder is considered a file, including the MFT. Records within the MFT are 1024 bytes in length. A file’s attributes are present in the MFT and in some cases the entire file, if small enough, can fit entirely into the MFT."
"Peer to Peer (P2P) Sharing","Peer to Peer (P2P) is file sharing over the Internet. This method for sharing files does not incorporate a centralized server containing the files; rather the users themselves have the listing for which users are hosting particular files. This model has been somewhat effective in avoiding federal laws covering the sharing of copyrighted data.\nP2P sharing incorporates the “swarming downloads” method for obtaining files. This means that users can search across a particular P2P network, such as Ares, for files of interest and can download pieces of that file from different computers. This greatly speeds up the downloading of that file and eases the load on any one particular computer."
"Physical Drive vs. Logical Drive","A physical drive refers to the actual drive itself and all of the available sectors on it, starting at sector 0, and running through the last sector on the drive. In most instances, forensic examiners will create a forensic image of a physical drive. This forensic image will contain areas outside of any logical drive, also known as un-partitioned or unused space.\nA logical drive (aka partition or volume) is an area on the physical drive formatted to store data. The logical drive may contain clusters not currently assigned to a file, which is known as unallocated space. This space would be included in a forensic image of a logical drive. Unused space would not be collected in a forensic image of a logical drive."
"Plist","A Property List (PLIST) file is a settings file, also known as a 'properties file,' used by macOS applications to store serialized objects. It contains properties and configuration settings for various programs. PLIST files are formatted in Extensible Markup Language (XML) and based on Apple's Core Foundation Document Type Definition (DTD). It uses the filename extension \n.plist, and thus is often referred to as a p-list file."
"Prefetch File","A Prefetch file is part of the Windows OS and stores how many times a program was run and the last time it was run. In some instances, it may contain the names of the files the program opened. This occurs if a file is opened within ten seconds of the start of the program.\nA Prefetch file helps the operating system run programs more efficiently. Files that have been run more often are moved to the outside of the hard drive tracks so they will open faster."
"RAID","Redundant Array of Inexpensive Disks, now widely known as Redundant Array of Independent Disks (RAID), is made up of two or more hard drives used together to increase the size of an allocated volume (all RAID types, except 1) and increase the speed of writing data (RAID 0, striping), add redundancy (RAID 1, mirroring), or add fault-tolerance (RAID 5, stripping with parity.) For RAID 5, at least three hard drives are required. There are additional RAID types as well, but the three listed are the most common." 
"RAM vs ROM","Random Access Memory (RAM) is the memory available to a user when the computer is turned on and running. This memory is plugged into slots on the computer’s motherboard. This is the memory that dictates how many programs you can be using at one time. The more RAM the more programs you can have open at one time. When the computer is turned off, this memory will eventually dissipate from the memory chips.\nRead-Only Memory (ROM) is a chip or chips on the computer motherboard that basically contains instructions telling the computer how to operate. This memory never goes away, even when the computer is turned off; however, the computer user cannot change it."
"Registry","The Registry is a place in the Windows Operating System that contains a large number of settings for how the computer operates and interacts with software. Additionally, it tracks user activity, software history, and externally attached devices, such as USB drive. It is actually made up of five different parts: SYSTEM, SOFTWARE, SAM, SECURITY, and NTUSER.DAT. NTUSER.DAT is assigned to each user account on a computer starting with Windows XP."
"Remote Desktop Protocol (RDP)","Remote Desktop Protocol (RDP) makes it possible to view another computer's desktop on your computer."
"Search Warrant vs. Grand Jury Subpoena vs 2703(d) (Electronic)","For Digital  Media, a Search Warrant (under the authority of Federal Rules of Criminal Procedure, Rule 41) can be used to obtain the full contents of any private messages, posts, or other activity or records, related to a subject’s network account.\nA Grand Jury Subpoena is a compulsory process used to compel the disclosure of records and other information relevant to an authorized investigation. This is ultimately the data about the contents of the search warrant, not the content itself.\nA 2703(d) Court Order authorizes the government to compel disclosure from a provider of stored contents of a wire or electronic communication and records or other information pertaining to a subscriber or customer. This is a middle ground of a Search Warrant and a subpoena." 
"Secure Shell (SSH) and Telnet","Secure Shell (SSH) is a method of securely communicating with another computer. The 'secure' part of the name means that all data sent via an SSH connection is encrypted.\nTelnet is a program that allows you log in to a Unix computer via a text-based interface and the communications are not encrypted."
"SIEM","Security Information and Event Management (SIEM) provides real-time analysis of security alerts generated by applications and network hardware."
"Slack Space","In simple terms, slack space is the area of the end of the logical file to the end of the nearest cluster. This space is divided into two types of slack – RAM Slack and File Slack.\nRAM Slack – This is the area from the end of the logical file to the end of the nearest sector. It can be anywhere from 1 byte to 511 bytes. Prior to Windows 95B, this area was padded with data taken from RAM. It could contain remnants of files and even passwords. In today’s world it contains only hexadecimal zeros.\nFile Slack – This is the area from the end of the sector listed above to the end of the cluster. This space can contain data from deleted files, which can be found using keyword searches."
"SSL/TLS","Secure Sockets Layer (SSL) is a secure protocol developed for sending information securely over the Internet.\nTransport Layer Security (TLS) aims primarily to provide privacy and data integrity between two communicating computer applications."
"TCP/UDP/ICMP","Transmission Control Protocol (TCP) is a fundamental protocol within the Internet protocol suite. When data is sent over a TCP connection, the protocol divides it into individually numbered packets or 'segments.' Each packet includes a header that defines the source and destination and a data section.\nUser Datagram Protocol (UDP) is part of the TCP/IP suite of protocols used for data transferring. UDP is a known as a 'stateless' protocol, meaning it doesn't acknowledge that the packets being sent have been received.\nWhen information is transferred over the Internet, computer systems send and receive data using the TCP/IP protocol. If there is a problem with the connection, error and status messages regarding the connection are sent using Internet Control Message Protocol (ICMP), which is part of the Internet protocol."
"T-III ELSUR vs PRTT","Title III Electronic Surveillance (ELSUR) is the non-consensual electronic collection of information (usually communications) under circumstances in which the parties have a reasonable expectation of privacy and court orders or warrants are required.\nPen Register/Trap and Trace (PRTT) devices enable the prospective collection of non-content traffic information associated with wire and electronic communications, such as phone numbers dialed from or to a particular telephone or the IP address of communications on the Internet and other computer networks. This is like net flow data in lieu of full packet capture."
"TOR","The Onion Router (TOR) directs Internet traffic through a free, worldwide, volunteer overlay network consisting of more than seven thousand relays to conceal a user's location and usage from anyone conducting network surveillance or traffic analysis.\nRelay, Exit, and Bridge node TOR relays are also referred to as 'routers' or 'nodes.' They receive traffic on the TOR network and pass it along.\nAn exit relay is the final relay that TOR traffic passes through before it reaches its destination.\nBridges are TOR relays which are not publicly listed as part of the TOR network. Bridges are essential censorship-circumvention tools in countries that regularly block the IP addresses of all publicly listed TOR relays."
"TTL","Time To Live (TTL) represents the number of hops, or servers in different locations, the request can travel to before returning a failed attempt message." 
"URL/URI/URN","A Uniform Resource Locator (URL) is the address of a specific webpage or file on the Internet.\nA Uniform Resource Identifier (URI) identifies the name and location of a file or resource in a uniform format.\nThe Uniform Resource Name (URN) are distinguished from URLs, which identify resources by specifying their locations in the context of a particular access protocol, such as Hypertext Transfer Protocol (HTTP) or File Transfer Protocol (FTP)."
"UTC (GMT) (+0)","Coordinated Universal Time (UTC) is the primary time standard by which the world regulates clocks and time."
"Virtual Machine (VM)","A Virtual Machine (VM) is an emulation of a computer system. VM’s are based on computer architectures and provide functionality of a physical computer. Their implementations may involve specialized hardware, software, or a combination." 
"VPN","A Virtual Private Network (VPN) is 'tunneled' through a Wide Area Network (WAN) such as the Internet. By using encryption and other security measures, a VPN can scramble all the data sent through the wide area network, so the network is 'virtually' private."
"VPS","A Virtual Private Server (VPS) is a virtual machine sold as a service by an Internet hosting service. A VPS runs its own OS and customers have superuser-level access to the OS to install any software that runs on that OS."
"Wi-Fi","Wi-Fi is a wireless networking technology that allows computers and other  devices to communicate over a wireless signal. It describes network components that are based on one of the 802.11 standards developed by the IEEE and adopted by the Wi-Fi Alliance."
"WEP vs WPA","Wired Equivalent Privacy (WEP) is a security protocol for Wi-Fi networks. Since wireless networks transmit data over radio waves, it is easy to intercept data or 'eavesdrop' on wireless data transmissions. The goal of WEP is to make wireless networks as secure as wired networks, such as those connected by Ethernet cables.\nWi-Fi Protected Access (WPA) is a security protocol designed to create secure wireless networks. It is similar to the WEP protocol, but offers improvements in the way it handles security keys and the way users are authorized.\nFor an encrypted data transfer to work, both systems on the beginning and end of a data transfer must use the same encryption/decryption key. While WEP provides each authorized system with the same key, WPA uses the Temporal Key Integrity Protocol (TKIP), which dynamically changes the key that the systems use. This prevents intruders from creating their own encryption key to match the one used by the secure network."
"Windows vs Microsoft","Windows is a series of operating systems developed by Microsoft. Each version of Windows includes a graphical user interface, with a desktop that allows users to view files and folders in windows. For the past two decades, Windows has been the most widely used operating system for personal computers PCs." 
"x86 vs x64","x86 is the generic name for Intel processors released after the original 8086 processor. The 'x' stands for a range of possible numbers. This can run up to 32-bit compiled software and executables.\nx64, full name x86-64, is the 64-bit version of the x86 instruction set. It supports vastly larger amounts of virtual memory and physical memory than is possible on its 32-bit predecessors, allowing programs to store large amounts of data in memory."
